Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[50.820276344216666, 40.41933858922372, 38.06538344804375, 40.534416906302795, 51.92132454290653, 8.372054312245123, 39.37330199350115]","[47.05668934240362, 57.42857142857143, 36.439909297052154, 13.083900226757379, 30.00453514739229, 50.399092970521544, 53.96825396825397]","[(20047, 23.69701171556025), (38286, 68.29830108273514), (64959, 93.1723694069361), (67311, 84.96722035513307), (89391, 93.1723694069361), (116064, 68.29830108273514), (134303, 23.69701171556025)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.13179909274372, 85.24792880108137, 41.786168973582484, 2.4243555527867837, 2.0646849520939474, 24.25929617533083, 2.468748666417144]","[39.41043083900227, 71.6780045351474, 39.900226757369616, 53.002267573696145, 50.82993197278912, 63.17460317460317, 50.75736961451247]","[(1050, 375.13887075513856), (23257, 112.94861703353025), (53991, 121.47781683168157), (85350, 129.13750844928663), (100359, 121.47781683168157), (131093, 112.94861703353028), (153300, 375.1388707551386)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer2.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[15.078054634897514, 94.70327861935013, 104.03209073812745, 4.131312245391157, 124.38489071043607, 120.3206135032122, 40.97495293300155]","[39.900226757369616, 32.37641723356009, 65.73696145124717, 51.40589569160998, 80.48526077097506, 90.12244897959184, 72.1360544217687]","[(7009, 32.77502626686275), (41161, 41.269705472980164), (45355, 34.10496374482349), (86851, 25.449058561994548), (108995, 34.104963744823486), (113189, 41.26970547298015), (147341, 32.775026266862746)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[423.90199923338935, 1.383674373279237, 0.8677191189712002, 1.0450080663628927, 0.6671316506115199, 0.4638352857693376, 0.8689473526222476]","[96.66213151927438, 98.43083900226758, 99.00226757369614, 98.21768707482993, 99.80952380952381, 100.0, 99.94104308390023]","[(0, 16354.545177948672), (42714, 19.853984709339073), (62558, 47.01044398511383), (67548, 49.51069816251429), (91792, 47.010443985113824), (111636, 19.85398470933907), (154344, 92.60882401863556)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer4.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[40.82985850172283, 102.71858653064729, 56.698084010609556, 35.74367833563364, 74.60395130502071, 36.1236223052921, 3.256851177485216]","[72.87981859410431, 23.224489795918373, 73.6780045351474, 72.22222222222223, 68.53968253968253, 71.25170068027211, 51.1609977324263]","[(18486, 33.94806174100663), (44027, 47.82919097240878), (49417, 63.00416430947578), (82843, 36.99305050977352), (104933, 63.00416430947577), (110323, 47.82919097240878), (135864, 33.94806174100663)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[22.243772980995303, 2.895856197037141, 3.021998662872994, 8.546151566934853, 23.296084340178087, 26.607220444462396, 37.47884533756102]","[52.34013605442177, 51.05215419501134, 51.51020408163266, 48.13151927437642, 40.10884353741496, 64.78004535147392, 83.34693877551021]","[(21864, 48.52083691584571), (42900, 98.731644762734), (45190, 123.14279140959454), (66410, 110.00833619442825), (109160, 123.14279140959454), (111450, 98.731644762734), (132486, 48.5208369158457)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[18.149560667726018, 3.0596770488912064, 3.320379255559861, 9.396152265946425, 21.458350207346182, 29.59796856379225, 33.27258894264343]","[46.97052154195012, 50.33106575963719, 51.46031746031746, 56.52154195011338, 34.897959183673464, 40.204081632653065, 41.637188208616784]","[(21668, 46.440027978712784), (31580, 112.09551434096318), (58887, 141.41289571223038), (86980, 102.32019525695544), (95463, 141.41289571223032), (122770, 112.09551434096319), (132682, 46.44002797871277)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/10 súng phun sơn/sprayer9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[3.072239089970237, 2.2747225252844925, 2.8130973510477424, 2.3046735245207812, 2.169785170311419, 2.6475556333371926, 2.4652380954995308]","[55.795918367346935, 52.64399092970521, 44.64852607709751, 49.81859410430839, 53.64625850340136, 48.02721088435374, 54.56235827664399]","[(18971, 104.18973712803393), (42324, 136.8097415665988), (51493, 155.43601987391426), (67477, 175.96997553717517), (102857, 155.43601987391426), (112026, 136.8097415665988), (135379, 104.18973712803394)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[0.0, 12.677084082471472, 3.191035295215746, 3.803934979978727, 4.599409242204967, 5.912200471114677, 8.800147602180784]","[100.0, 17.43764172335601, 51.151927437641724, 48.12698412698413, 54.59410430839002, 51.66439909297052, 58.34013605442177]","[(4132, 501.92459911678316), (42450, 108.33265760963377), (48943, 239.16845989761575), (86371, 144.01806659430872), (105407, 239.16845989761575), (111900, 108.33265760963377), (150218, 501.9245991167831)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/2 cưa điện/cua_dien_10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[5.312792890905511, 1.8064309982860105, 8.741092826295201, 2.0982488856783936, 1.4469549337047196, 6.795568974311685, 2.489916011455491]","[44.956916099773245, 48.74829931972789, 48.50340136054422, 46.68480725623583, 45.424036281179134, 48.87528344671202, 45.26077097505669]","[(0, 2927.2353285797044), (42700, 228.85517600233425), (50490, 416.153449677041), (67007, 287.29750843660736), (103860, 416.153449677041), (111650, 228.85517600233428), (153523, 2919.6417558957905)]"
