Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_2.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.312815227978971, 6.735843944451993, 6.356012151445611, 4.989746591031906, 5.364591676334385, 6.340458693254429, 7.03265664023569]","[52.07709750566893, 51.07936507936508, 54.9750566893424, 40.666666666666664, 46.57596371882086, 41.82312925170068, 45.73696145124716]","[(708, 598.3011356268254), (40551, 63.252970785923345), (52705, 55.41339087015355), (84711, 60.72654258317567), (101645, 55.413390870153535), (113799, 63.252970785923345), (153642, 598.3011356268254)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[10.022681841063639, 6.3444009728430375, 6.249788997783547, 5.8538991367510915, 6.73596524353516, 7.067107051123111, 6.943485995413669]","[46.49886621315192, 44.13605442176871, 54.235827664399096, 43.91836734693878, 45.77777777777777, 33.15646258503402, 40.49886621315193]","[(713, 581.985477850318), (38445, 74.10415580926123), (49645, 58.94283177573551), (69425, 64.43150614986124), (104705, 58.942831775735506), (115905, 74.10415580926123), (153637, 581.9854778503183)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_4.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.981202473084247, 7.033368427073583, 5.252785311036167, 6.2857291874631, 5.808898217704457, 5.373109701377827, 5.05823371261483]","[40.09977324263039, 45.55102040816327, 44.616780045351476, 50.25850340136054, 43.65532879818594, 40.17687074829932, 43.60997732426304]","[(763, 571.5348278670771), (44072, 48.3058646815201), (48712, 74.27031734067737), (68095, 50.92623521331287), (105638, 74.27031734067737), (110278, 48.30586468152011), (153587, 571.534827867077)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_5.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.017684389187327, 4.986708656707335, 6.187975174924802, 4.600704772054174, 5.485949731207386, 4.436189853281359, 11.060332554015552]","[51.32426303854875, 42.71201814058957, 41.01133786848072, 45.89115646258504, 41.91836734693878, 49.29705215419501, 56.42630385487528]","[(1015, 495.61619564632326), (38853, 76.97595174749769), (50172, 76.8077639265032), (70299, 52.79328589252647), (104178, 76.8077639265032), (115497, 76.97595174749769), (153335, 495.6161956463232)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.017684389187327, 4.986708656707335, 6.187975174924802, 4.600704772054174, 5.485949731207386, 4.436189853281359, 11.060332554015552]","[51.32426303854875, 42.71201814058957, 41.01133786848072, 45.89115646258504, 41.91836734693878, 49.29705215419501, 56.42630385487528]","[(1015, 495.61619564632326), (38853, 76.97595174749769), (50172, 76.8077639265032), (70299, 52.79328589252647), (104178, 76.8077639265032), (115497, 76.97595174749769), (153335, 495.6161956463232)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.017684389187327, 4.986708656707335, 6.187975174924802, 4.600704772054174, 5.485949731207386, 4.436189853281359, 11.060332554015552]","[51.32426303854875, 42.71201814058957, 41.01133786848072, 45.89115646258504, 41.91836734693878, 49.29705215419501, 56.42630385487528]","[(1015, 495.61619564632326), (38853, 76.97595174749769), (50172, 76.8077639265032), (70299, 52.79328589252647), (104178, 76.8077639265032), (115497, 76.97595174749769), (153335, 495.6161956463232)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_8.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.017684389187327, 4.986708656707335, 6.187975174924802, 4.600704772054174, 5.485949731207386, 4.436189853281359, 11.060332554015552]","[51.32426303854875, 42.71201814058957, 41.01133786848072, 45.89115646258504, 41.91836734693878, 49.29705215419501, 56.42630385487528]","[(1015, 495.61619564632326), (38853, 76.97595174749769), (50172, 76.8077639265032), (70299, 52.79328589252647), (104178, 76.8077639265032), (115497, 76.97595174749769), (153335, 495.6161956463232)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/4 máy cắt cỏ/may_cat_co_9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.333743255715383, 5.75247962640008, 5.1171564951627735, 5.678365436462974, 6.691146124337267, 6.39254192854943, 6.493257532738859]","[51.65986394557823, 54.7437641723356, 40.73015873015873, 46.43537414965987, 41.85487528344672, 45.98639455782313, 48.19501133786848]","[(708, 600.7943456080059), (37633, 60.91339918343115), (52705, 54.786402486884846), (69639, 57.53690302260641), (101645, 54.78640248688484), (116717, 60.91339918343117), (153642, 600.7943456080059)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/5 máy bơm nước/máy bơm 1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.336901925601672, 4.043131624348462, 3.7700758007953743, 4.582489570159288, 3.7741254100442996, 3.709767746650392, 4.09381316331703]","[47.97732426303855, 50.31292517006803, 47.97732426303855, 49.287981859410436, 47.62358276643991, 57.40589569160998, 53.06122448979592]","[(4710, 1177.2064292065445), (30731, 175.1237786407002), (57768, 155.21254520126436), (87816, 66.01801171156156), (96582, 155.2125452012644), (123619, 175.12377864070027), (149640, 1177.2064292065443)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/5 máy bơm nước/máy bơm 10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[4.388021731743763, 2.6414860723196485, 3.2647738044726706, 3.0296180128408152, 3.401208615313018, 3.0880919358293926, 3.2378016422236606]","[52.91609977324263, 51.06575963718821, 49.668934240362816, 49.13832199546485, 49.32426303854876, 51.31972789115646, 48.45804988662131]","[(1650, 368.8982851477591), (23145, 87.5744998669159), (53707, 260.7136289146786), (67665, 96.35083643948015), (100643, 260.7136289146787), (131205, 87.5744998669159), (152700, 368.89828514775905)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/5 máy bơm nước/máy bơm 3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[5.79134205765386, 4.466201096130091, 4.3779030536478825, 4.75012971063344, 5.767891053775592, 5.323429160662705, 4.333233122001513]","[47.941043083900226, 49.641723356009074, 51.80498866213152, 51.87301587301587, 48.40362811791383, 46.9297052154195, 47.115646258503396]","[(2732, 3655.5451633787343), (30730, 69.84358315028712), (55790, 182.9300102444145), (87809, 41.53741302731022), (98560, 182.93001024441446), (123620, 69.84358315028713), (151618, 3655.5451633787343)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/5 máy bơm nước/máy bơm 5.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[5.666841413869068, 6.4969657343767935, 4.5462152898489006, 5.052002820385886, 5.491256632099283, 5.430278970327761, 5.092456688483556]","[50.75283446712018, 48.45804988662131, 50.87074829931973, 50.02267573696145, 47.93197278911565, 53.70975056689342, 50.44444444444444]","[(4071, 9236.113251073433), (29896, 107.37023128773836), (48532, 65.15008063959473), (87031, 17.873603586636573), (105818, 65.15008063959472), (124454, 107.37023128773835), (150279, 9236.113251073431)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/5 máy bơm nước/máy bơm 6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[3.181520153952459, 3.3767188099556646, 3.099277277111209, 3.0871240169203484, 3.091641354729377, 3.2385409899039326, 3.3470106943111335]","[46.40362811791383, 52.88888888888889, 49.46031746031746, 52.285714285714285, 48.50340136054422, 52.44897959183674, 47.1609977324263]","[(14546, 332.4717007869053), (26976, 127.00733200196647), (54277, 147.1476904082764), (66734, 74.50977328660355), (100073, 147.14769040827642), (127374, 127.00733200196647), (139804, 332.4717007869053)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/5 máy bơm nước/máy bơm 7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[3.919667608191281, 2.8604079855583784, 3.468345569646252, 2.9009828041861985, 2.850121397863231, 2.9461338107163706, 3.8351470615626093]","[49.274376417233555, 47.88662131519275, 50.33106575963719, 49.32426303854876, 50.249433106575964, 48.90702947845805, 49.691609977324255]","[(14611, 341.0719928479455), (23166, 92.37213515045393), (53899, 195.70534202646368), (86566, 85.60560035357572), (100451, 195.70534202646368), (131184, 92.37213515045393), (139739, 341.0719928479455)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/5 máy bơm nước/máy bơm 8.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[4.12703764538259, 2.515023751870363, 3.3848789976521707, 3.1422692423109853, 3.029504837676151, 3.0056414737676582, 3.3565446035936475]","[50.45804988662132, 50.03174603174603, 53.27437641723356, 48.766439909297056, 49.53741496598639, 49.15192743764172, 50.22675736961451]","[(1648, 281.1166324906954), (27033, 133.13552756141476), (54393, 216.28653058081647), (67967, 88.93555118364921), (99957, 216.28653058081647), (127317, 133.1355275614148), (152702, 281.1166324906954)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/5 máy bơm nước/máy bơm 9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[3.7639096200596107, 3.719954387772651, 3.3823386117416834, 3.4538564460706853, 3.251276373131467, 3.0488679867370854, 3.201084649966409]","[49.224489795918366, 48.594104308390015, 49.482993197278915, 48.961451247165535, 51.337868480725625, 51.519274376417236, 48.725623582766445]","[(14546, 235.05277177772868), (40455, 126.30197739024264), (53941, 184.84871159864193), (68768, 94.60523926441968), (100409, 184.84871159864193), (113895, 126.30197739024266), (139804, 235.05277177772874)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/6 quạt điện/quạt điện 1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[4.272952462075452, 1.1357545451010949, 1.1866463213837484, 1.084521862434312, 1.024296166447346, 1.180144215218856, 1.7061220924439287]","[45.63718820861678, 45.51473922902495, 45.083900226757365, 44.97505668934241, 45.03401360544218, 45.48299319727891, 45.3514739229025]","[(461, 32909.22309847725), (22346, 11.516929530926463), (60293, 16.639531741378796), (86897, 14.67779490195008), (94057, 16.639531741378857), (132004, 11.516929530926431), (153889, 32909.223098477254)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/6 quạt điện/quạt điện 10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.415241875999802, 8.672765969586614, 8.32617832652648, 6.537220447457263, 8.186858482769734, 6.659933051005716, 7.043917071894699]","[51.04308390022676, 61.24716553287982, 61.76417233560091, 52.68027210884354, 53.941043083900226, 50.276643990929706, 52.35374149659864]","[(745, 1470.2770312096768), (22465, 8.19634283008414), (60293, 10.558864651833934), (87877, 3.8862305552865193), (94057, 10.558864651833922), (131885, 8.196342830084134), (153605, 1470.277031209677)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/6 quạt điện/quạt điện 5.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[169.3009349782843, 10.133394967609396, 9.724838289037594, 8.57742658505837, 6.573350456476744, 8.295424750429534, 9.286892971777846]","[75.18367346938776, 53.106575963718825, 54.55328798185941, 57.034013605442176, 46.68027210884353, 49.26530612244898, 55.192743764172334]","[(3, 709.9439062189928), (22262, 7.882030532617055), (57513, 5.39521680897943), (66602, 2.0183546435594715), (96837, 5.3952168089794315), (132088, 7.882030532617052), (154347, 709.9439062189927)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/6 quạt điện/quạt điện 6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[151.36504902147016, 6.888788962082582, 5.462503170461527, 6.61394939081566, 7.323821819209981, 6.71871212821099, 5.162637703774852]","[62.276643990929706, 49.20634920634921, 49.2517006802721, 50.11337868480726, 48.71201814058958, 48.23129251700681, 49.0249433106576]","[(498, 6323.3832960909685), (22094, 2.4836704866124553), (56000, 13.256864459973597), (88004, 1.0565662879706168), (98350, 13.256864459973606), (132256, 2.483670486612459), (153852, 6323.383296090968)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/6 quạt điện/quạt điện 7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[6.4856642321142, 7.049489697618854, 7.171694160760602, 4.391793565203746, 5.224437215587213, 4.264983099087009, 7.50836497283585]","[49.12925170068028, 48.78004535147392, 49.13378684807256, 49.47392290249433, 49.755102040816325, 49.560090702947846, 49.12925170068028]","[(501, 3745.3647122955463), (22382, 2.6158240098559253), (56000, 4.945625646103172), (85311, 1.1535812065727526), (98350, 4.945625646103153), (131968, 2.6158240098559293), (153849, 3745.364712295546)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/6 quạt điện/quạt điện 8.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.802566285461707, 8.08565772327018, 7.236648288588705, 10.23335883524158, 8.472525833972863, 8.582098201094638, 7.33576456855406]","[47.668934240362816, 51.05668934240363, 49.414965986394556, 49.079365079365076, 53.08390022675737, 45.89115646258504, 47.68707482993197]","[(728, 889.2941669811527), (24059, 8.534315713792777), (56694, 5.39806076707713), (88157, 2.2838705496491767), (97656, 5.398060767077131), (130291, 8.534315713792777), (153622, 889.2941669811528)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/6 quạt điện/quạt điện 9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.961969093121805, 7.702747635942485, 6.91863701739792, 7.329209791731999, 8.355542988560739, 7.744296115457213, 8.302538067385155]","[50.42630385487528, 46.535147392290256, 50.56689342403628, 52.585034013605444, 53.006802721088434, 49.09297052154194, 51.02947845804989]","[(746, 1232.0928253527588), (22675, 7.238992569681625), (60293, 10.376941736782747), (67453, 4.0400431613794305), (94057, 10.376941736782753), (131675, 7.238992569681628), (153604, 1232.092825352759)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/7 máy phát điện/máy phát điện 1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[4.800586724859597, 7.644390220022095, 6.423955721159776, 9.090370240543658, 7.000012141326719, 6.692939233921823, 6.119309349118599]","[50.76643990929705, 50.49886621315193, 48.87528344671202, 49.75056689342403, 50.58956916099773, 47.19274376417234, 46.44444444444444]","[(363, 12933.821464107483), (22263, 66.63486738909018), (60293, 83.37689707025915), (67453, 70.40826417786016), (94057, 83.37689707025913), (132087, 66.6348673890902), (153987, 12933.821464107483)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/7 máy phát điện/máy phát điện 10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.124428222833071, 6.318336118766594, 4.78968283851351, 6.2684692188798055, 6.378637526982597, 6.220352032133157, 5.864670295670207]","[54.358276643990926, 44.07256235827665, 48.39455782312925, 51.84580498866213, 53.88208616780045, 55.92290249433107, 53.859410430839]","[(760, 4052.337458535607), (22159, 55.79432192009152), (60293, 46.77008938290396), (67453, 43.14344560606269), (94057, 46.770089382903976), (132191, 55.794321920091505), (153590, 4052.337458535607)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/7 máy phát điện/máy phát điện 3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[7.993882796510534, 5.920620442235044, 5.695015013528367, 8.172541532188742, 10.312048452241081, 8.528205285602738, 10.658753870631612]","[55.96371882086168, 53.80498866213152, 51.60997732426304, 51.07936507936508, 51.24716553287982, 51.151927437641724, 51.93650793650794]","[(363, 9640.83852782249), (25088, 64.47941407176289), (60293, 67.55463791499456), (67453, 50.30623878741837), (94057, 67.55463791499454), (129262, 64.4794140717629), (153987, 9640.83852782249)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/7 máy phát điện/máy phát điện 4.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.291955610336519, 8.373476789399449, 9.062888928955156, 9.517811269255443, 7.667367791734813, 9.503067109367944, 7.231930239746968]","[52.52607709750567, 54.45351473922903, 47.981859410430836, 49.04308390022676, 48.90702947845805, 51.197278911564624, 47.44671201814059]","[(363, 7900.159352995688), (23980, 66.00591143942887), (60293, 68.16238824077159), (86897, 61.0347138433587), (94057, 68.16238824077156), (130370, 66.00591143942884), (153987, 7900.159352995688)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/7 máy phát điện/máy phát điện 6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[6.148533603490526, 3.6765220214701477, 3.1009335644566383, 3.1501304391505465, 3.9406069644471806, 3.977003236789079, 3.4647470111806236]","[47.183673469387756, 52.68934240362812, 49.69614512471655, 59.13378684807256, 50.71655328798186, 47.941043083900226, 49.832199546485256]","[(1015, 1215.5778568514029), (22915, 141.79734313597967), (60293, 300.60563837519936), (86897, 212.58622673225844), (94057, 300.60563837519936), (131435, 141.79734313597967), (153335, 1215.5778568514027)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/7 máy phát điện/máy phát điện 9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.359514644672704, 6.735183074626894, 6.345286177072142, 6.080197968653271, 7.068361008333297, 8.410832998786299, 7.288831986841702]","[50.476190476190474, 55.36961451247166, 55.00680272108844, 55.51020408163265, 53.637188208616784, 46.36734693877551, 49.27891156462585]","[(751, 4656.632636315422), (29628, 39.46728030296513), (60293, 44.33718146935101), (67453, 32.60774435353891), (94057, 44.33718146935101), (124722, 39.46728030296512), (153599, 4656.632636315422)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/7 máy phát điện/máy-phát-điện-7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[5.683985839565393, 4.131016366383327, 3.729229614449044, 3.8440023138675663, 3.474629058092389, 4.121571677110513, 3.9319081076731286]","[55.81859410430839, 46.54875283446712, 48.40362811791383, 48.71655328798185, 51.183673469387756, 49.15192743764172, 52.20408163265306]","[(1020, 1539.556291287988), (23002, 127.04526752924578), (60293, 306.71823634996423), (67453, 211.02239712527364), (94057, 306.71823634996423), (131348, 127.04526752924578), (153330, 1539.5562912879882)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[10.406181449747406, 7.896527805409971, 9.935486360475243, 7.951243673839296, 13.97403508169754, 9.505636065400072, 13.372612941921467]","[56.26303854875284, 53.08843537414966, 45.92743764172336, 49.84126984126984, 42.054421768707485, 42.33560090702948, 55.224489795918366]","[(1401, 3328.067965256165), (22348, 49.87616323528276), (47038, 15.221252732935007), (84105, 3.893202371300611), (107312, 15.221252732934994), (132002, 49.87616323528276), (152949, 3328.067965256165)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[139790.62287105442, 9.823559233821774, 9.818522900431638, 8.747058418313307, 7.638541299439523, 10.158053552801167, 8.18984610149138]","[45.31065759637188, 48.79365079365079, 45.111111111111114, 54.616780045351476, 50.64852607709751, 47.95918367346938, 51.641723356009074]","[(2808, 4157.251923854821), (25264, 139.486927845736), (51986, 91.54044959425296), (85555, 39.3043400018814), (102364, 91.54044959425293), (129086, 139.48692784573598), (151542, 4157.25192385482)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing2.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.607581512850905, 9.456295064107204, 11.742456167814366, 9.932699348289697, 11.959882094968288, 8.944882675340134, 13.035393977493403]","[42.52154195011338, 49.89569160997732, 38.04081632653061, 51.909297052154194, 44.82539682539682, 45.528344671201815, 40.684807256235835]","[(700, 3401.6004447406226), (22181, 75.57785442101097), (45858, 19.047927150025956), (66237, 4.627815559850595), (108492, 19.04792715002594), (132169, 75.57785442101098), (153650, 3401.600444740623)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing3.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[11.57909225507336, 11.358631956387573, 13.282083711099057, 12.216846766282938, 11.348575021007232, 7.952679497178733, 6.6099811993938475]","[48.961451247165535, 48.71655328798185, 47.81405895691609, 50.54875283446712, 49.35600907029478, 52.39455782312925, 49.68707482993197]","[(132, 4962.686467781299), (24347, 82.35428968309934), (57451, 24.857846705254932), (66724, 19.80471976243718), (96899, 24.85784670525491), (130003, 82.35428968309937), (154218, 4962.6864677813)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing4.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[8.626163550501968, 6.275184084716741, 7.210440723602439, 8.140883367256416, 7.380241450681795, 7.589612114298645, 6.500764936208725]","[50.90702947845805, 49.378684807256235, 50.86167800453515, 50.22675736961451, 53.78684807256236, 52.10430839002267, 49.46938775510205]","[(910, 8282.255394299644), (23234, 624.1753049449374), (49129, 549.8804358622818), (87381, 70.56252052062605), (105221, 549.880435862282), (131116, 624.1753049449375), (153440, 8282.255394299644)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing5.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[10.360416830625645, 9.355674043763429, 8.861541235819459, 9.211883241299628, 9.618861392317783, 9.077172165381766, 10.234154023540517]","[54.358276643990926, 52.14512471655329, 51.292517006802726, 52.64852607709751, 47.278911564625844, 48.997732426303855, 47.69614512471655]","[(701, 6165.037001540785), (25248, 189.87271392002347), (50530, 83.16772204517251), (87697, 19.642254648279902), (103820, 83.16772204517251), (129102, 189.87271392002344), (153649, 6165.037001540787)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing6.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[13.822706264638624, 10.003205639631709, 11.052917404699006, 11.297023843508214, 10.155682412421031, 11.648340981143216, 11.162213882198557]","[49.560090702947846, 50.53061224489796, 50.761904761904766, 49.63718820861678, 47.08843537414966, 47.82312925170068, 50.21315192743764]","[(877, 6098.320140113762), (25321, 194.60452109702388), (50533, 92.0392874978045), (66656, 14.743028951108371), (103817, 92.03928749780451), (129029, 194.60452109702385), (153473, 6098.320140113763)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing7.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[3500.0813610738055, 10.476582652024392, 6.820794958843007, 9.306063535179765, 6.309901239001192, 7.857770817576065, 8.377277566164377]","[52.11337868480725, 56.89795918367347, 50.12244897959184, 46.94331065759637, 48.58956916099773, 46.87074829931973, 53.17006802721088]","[(1405, 4996.732170566775), (25280, 147.13700483129116), (49155, 109.46896777448725), (68699, 31.486062624250383), (105195, 109.46896777448725), (129070, 147.13700483129125), (152945, 4996.732170566775)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing8.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[9.043786793860585, 5.2452797028568705, 5.705675562785473, 4.939910059883481, 4.817316065531313, 5.809388047505525, 5.230531436834662]","[48.02721088435374, 52.702947845804985, 50.46258503401361, 51.678004535147394, 51.868480725623584, 52.00907029478458, 53.24716553287982]","[(585, 6476.9365665371015), (29480, 37.68963035033635), (58916, 174.56996600730517), (87412, 6.750961570012113), (95434, 174.5699660073052), (124870, 37.689630350336365), (153765, 6476.936566537102)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/8 máy giặt/washing9.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[6.342750838632847, 5.639731985450323, 4.214008057888783, 5.913719140170586, 4.9380045686294105, 6.039393518239238, 6.103608400804833]","[55.06575963718821, 52.48526077097505, 49.77777777777778, 53.83673469387755, 55.38775510204081, 51.01587301587301, 51.39229024943311]","[(585, 6492.908459296089), (29431, 45.3406656291461), (58936, 274.33424440960385), (87347, 6.222389155744774), (95414, 274.33424440960385), (124919, 45.3406656291461), (153765, 6492.908459296089)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/9 tông đơ cắt tóc/trimmer1.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[5.750594431633227, 3.346739665305774, 7.551183134117829, 4.824024109984748, 1.723135635811126, 2.010435436109436, 2.4246711868770596]","[52.44897959183674, 54.69387755102041, 37.70521541950114, 46.22222222222222, 51.718820861678005, 47.51927437641723, 51.859410430839006]","[(10214, 1134.3699651328993), (23572, 517.3472922624376), (58665, 56.81115595376637), (87533, 34.609285473435875), (95685, 56.81115595376635), (130778, 517.3472922624376), (144136, 1134.369965132899)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/9 tông đơ cắt tóc/trimmer10.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[12.989266835109786, 4.103129408239121, 5.142032576259226, 7.340069491571437, 3.4063904643213996, 4.5683578626873595, 8.922180961374016]","[44.10884353741496, 52.054421768707485, 46.82539682539682, 51.08843537414966, 55.2108843537415, 50.54875283446712, 37.786848072562364]","[(840, 657.9119248576939), (26040, 36.24498711941169), (46205, 27.835974072959186), (71525, 22.96728695700774), (108145, 27.83597407295919), (128310, 36.2449871194117), (153510, 657.9119248576939)]"
E:/Learn/tool_instrument_voice_recognition/src/File âm thanh/9 tông đơ cắt tóc/trimmer2.wav,"[41.0105, 80.53759, 78.17408, 79.63045, 78.884094, 80.22667, 80.14571]","[3.6182997430144095, 3.5081468463648067, 3.789164990996055, 2.6384574544776807, 2.8321040388878567, 2.7964071548056033, 2.6933905938806544]","[55.759637188208615, 52.625850340136054, 62.33560090702947, 54.807256235827666, 60.46258503401361, 48.82086167800453, 42.93877551020409]","[(6203, 225.16221952523594), (23472, 153.82369823741038), (46920, 81.43411892283547), (69593, 31.83351328541116), (107430, 81.43411892283547), (130878, 153.82369823741038), (148147, 225.16221952523594)]"
